pressure	height	temperature	dewpoint	rh	mixingratio	direction	sknt	thta	thte	thtv
51	20826	-59.1	-81.1	4	0.01	160	5	500.9	501	500.9
50	20950	-59.1	-81.1	4	0.01	300	1	503.8	503.9	503.8
49	21077	-59.4	-81.4	4	0.01	315	3	506.1	506.1	506.1
48.5	21141	-59.5	-81.5	4	0.01	308	3	507.2	507.3	507.2
48	21207	-59.3	-81.4	4	0.01	300	4	509.1	509.2	509.1
47	21340	-59	-81.3	4	0.01	330	8	513	513.1	513
46	21476	-58.6	-81.2	4	0.01	0	8	517	517.1	517
45	21615	-58.3	-81	4	0.01	25	9	521.2	521.2	521.2
44	21757	-57.9	-80.9	4	0.01	45	6	525.4	525.5	525.4
42	22052	-57.2	-80.6	4	0.01	110	9	534.3	534.4	534.3
41	22205	-56.8	-80.5	4	0.02	80	7	539	539.1	539
40	22361	-56.4	-80.3	3	0.02	70	9	543.8	543.9	543.8
37	22854	-55.1	-79.8	3	0.02	130	15	559.3	559.5	559.3
36.1	23010	-54.7	-79.7	3	0.02	157	12	564.3	564.4	564.3
36	23028	-54.6	-79.7	3	0.02	160	12	564.9	565.1	564.9
34.1	23377	-53.1	-79.1	3	0.02	94	3	577.7	577.9	577.8
34	23395	-53.1	-79.1	3	0.02	90	3	578.1	578.3	578.1
33	23587	-53.5	-79.2	3	0.02	200	6	582.2	582.4	582.2
32	23785	-53.8	-79.3	3	0.02	225	3	586.5	586.7	586.5
30	24200	-54.5	-79.5	3	0.02	70	14	595.5	595.7	595.5
28.7	24483	-54.9	-79.9	3	0.02	80	14	602	602.2	602
28	24641	-54.7	-79.7	3	0.03	85	14	606.8	607	606.8
27	24874	-54.4	-79.4	3	0.03	120	7	614	614.2	614
26.7	24945	-54.3	-79.3	3	0.03	117	6	616.2	616.5	616.2
26	25117	-53.6	-78.8	3	0.03	110	4	622.7	623	622.8
25	25371	-52.7	-78.1	3	0.04	110	12	632.5	632.9	632.5
24	25635	-51.7	-77.3	3	0.04	115	5	642.8	643.2	642.9
23	25910	-50.6	-76.5	3	0.05	40	14	653.8	654.3	653.8
22.5	26052	-50.1	-76.1	3	0.05	40	15	659.5	660	659.5
22.4	26082	-50.3	-76.3	3	0.05	40	15	659.7	660.2	659.8
21	26502	-50.6	-75.8	4	0.06	40	19	671	671.6	671
20.8	26565	-50.7	-75.7	4	0.06	41	18	672.6	673.3	672.7
20.6	26628	-50.7	-75.7	4	0.06	42	18	674.5	675.1	674.5
20	26820	-50.7	-76.7	3	0.06	45	16	680.2	680.8	680.2
19	27157	-49.5	-75.8	3	0.07	75	21	693.9	694.6	693.9
18	27513	-48.3	-74.8	3	0.08	65	16	708.6	709.5	708.6
16.5	28085	-46.3	-73.3	3	0.11	95	20	732.9	734.1	732.9
16	28290	-46.2	-73	3	0.12	105	21	739.5	740.8	739.6
15	28718	-46.1	-72.3	4	0.15	120	23	753.6	755.2	753.7
14.7	28853	-46.1	-72.1	4	0.15	116	19	758.1	759.8	758.2
